sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,46,,良好,0.5,0.27,28,50,42,19,10,10.6,0.1,1.9,319,2025-03-30 23:00,,0.1,9.5,27,0,120.651472,22.260899,313
臺南（南化）,臺南市,53,細懸浮微粒,普通,0.3,0.21,25,33,14,15,5,5.6,0.2,1.5,351,2025-03-30 23:00,,0.2,13.3,15,0,120.44583156,23.04562013,312
新北（樹林）,新北市,39,,良好,0.2,0.24,38,42,1,3,11,12.8,1.5,0,147,2025-03-30 23:00,,0.2,2,2,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,24,,良好,0.2,0.2,26,26,4,4,3,3.7,0.5,0.9,310,2025-03-30 23:00,,0.2,2.2,4,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,65,細懸浮微粒,普通,7.6,0.99,11,39,51,25,26,26.8,0.5,2.6,334,2025-03-30 23:00,,0.3,17.7,33,3,120.37722,22.35222,204
臺南（麻豆）,臺南市,33,,良好,0.9,0.19,34,36,11,5,6,7.1,0.9,2.7,3,2025-03-30 23:00,,0.2,7.5,14,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,43,,良好,1.6,0.26,23,32,14,10,14,15.2,0.7,1,22,2025-03-30 23:00,,0.2,10.6,19,1,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,39,,良好,0.8,0.17,38,42,9,3,3,4,0.3,1.6,244,2025-03-30 23:00,,0.1,2,9,0,121.82463916,24.85366672,201
員林,彰化縣,35,,良好,1,0.22,37,38,10,6,5,6.8,1,2.5,43,2025-03-30 23:00,,0.2,6.4,8,1,120.5631893,23.9615945,139
大城,彰化縣,40,,良好,1.7,0.18,40,43,10,5,7,9.5,1.6,2.4,54,2025-03-30 23:00,,0.1,6.2,13,1,120.26964167,23.85493056,85
富貴角,新北市,50,,良好,0.3,0.1,53,54,24,8,0,0.8,0,13.4,45,2025-03-30 23:00,,0.1,5.4,20,0,121.53656894,25.29681695,84
麥寮,雲林縣,36,,良好,2.5,0.31,37,39,12,4,7,8.4,1.3,4.8,359,2025-03-30 23:00,,0.3,5.1,12,1,120.251825,23.753506,83
關山,臺東縣,43,,良好,0.7,0.19,43,46,5,4,2,2.9,0.6,2.6,20,2025-03-30 23:00,,0.1,3.3,11,0,121.161933,23.045083,80
馬公,澎湖縣,47,,良好,0.9,0.17,51,51,7,8,1,2.2,0.6,6.9,32,2025-03-30 23:00,,0.1,6.3,14,0,119.566158,23.569031,78
金門,金門縣,37,,良好,1,0.22,43,40,5,9,3,4.2,0.5,3,35,2025-03-30 23:00,,0.2,5.6,7,0,118.312256,24.432133,77
馬祖,連江縣,42,,良好,0.7,0.19,43,45,21,13,3,4.4,0.6,2.7,357,2025-03-30 23:00,,0.1,7.9,16,0,119.952724,26.153736,75
埔里,南投縣,32,,良好,0.8,0.26,15,14,8,6,3,4.5,1,0.6,260,2025-03-30 23:00,,0.2,8,12,0,120.967903,23.968842,72
復興,高雄市,57,細懸浮微粒,普通,1.3,0.34,23,32,21,14,13,15,1.3,1.5,317,2025-03-30 23:00,,0.3,14.7,27,1,120.312017,22.608711,71
永和,新北市,38,,良好,0.8,0.25,39,41,0,5,8,9.8,1.2,1.5,107,2025-03-30 23:00,,0.2,5.5,1,0,121.516306,25.017,70
竹山,南投縣,36,,良好,1.4,0.22,26,28,10,11,8,9,0.8,1.6,18,2025-03-30 23:00,,0.2,9,15,1,120.677306,23.756389,69
中壢,桃園市,36,,良好,0.1,0.36,30,34,8,3,15,19.7,3.8,0.9,12,2025-03-30 23:00,,0.3,4.7,5,0,121.221667,24.953278,68
三重,新北市,56,二氧化氮,普通,0.7,0.59,20,19,6,4,30,52.9,22.8,-,-,2025-03-30 23:00,,0.7,5.4,8,0,121.493806,25.072611,67
冬山,宜蘭縣,42,,良好,0.6,0.15,45,45,0,5,1,1.1,0,2.2,265,2025-03-30 23:00,,0.1,4.1,0,0,121.792928,24.632203,66
宜蘭,宜蘭縣,39,,良好,0.5,0.15,42,42,2,5,2,3.6,0.6,1.3,273,2025-03-30 23:00,,0.1,3.5,2,0,121.746394,24.747917,65
