variable,group,min_value,max_value
so2,低,0.0,5.633333333333333
so2,中,5.633333333333333,11.266666666666666
so2,高,11.266666666666666,16.9
co,低,0.14,0.8
co,中,0.8,1.46
co,高,1.46,2.12
o3,低,0.0,36.333333333333336
o3,中,36.333333333333336,72.66666666666667
o3,高,72.66666666666667,109.0
o3_8hr,低,3.0,31.0
o3_8hr,中,31.0,59.0
o3_8hr,高,59.0,87.0
pm10,低,0.0,75.66666666666667
pm10,中,75.66666666666667,151.33333333333334
pm10,高,151.33333333333334,227.0
pm2.5,低,0.0,19.666666666666668
pm2.5,中,19.666666666666668,39.333333333333336
pm2.5,高,39.333333333333336,59.0
no2,低,0.0,19.333333333333332
no2,中,19.333333333333332,38.666666666666664
no2,高,38.666666666666664,58.0
nox,低,0.6,31.933333333333334
nox,中,31.933333333333334,63.266666666666666
nox,高,63.266666666666666,94.6
no,低,0.0,20.133333333333333
no,中,20.133333333333333,40.266666666666666
no,高,40.266666666666666,60.4
windspeed,弱,0.0,3.733333333333333
windspeed,中,3.733333333333333,7.466666666666666
windspeed,強,7.466666666666666,11.2
