sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid,so2_level,co_level,o3_level,o3_8hr_level,pm10_level,pm2.5_level,no2_level,nox_level,no_level,windspeed_level
屏東(枋山),屏東縣,71,臭氧八小時,普通,0.2,0.14,45.0,61.0,5.0,1.0,2.0,2.4,0.4,2.7,96,2025-04-08 23:00,,0.1,7.8,17,0.0,120.651472,22.260899,313,低,低,中,高,低,低,低,低,低,弱
臺南（南化）,臺南市,66,細懸浮微粒,普通,0.1,0.25,30.0,53.0,24.0,17.0,3.0,3.1,0.1,1.8,185,2025-04-08 23:00,,0.2,17.8,31,0.0,120.44583156,23.04562013,312,低,低,低,中,低,低,低,低,低,弱
新北（樹林）,新北市,104,細懸浮微粒,對敏感族群不健康,1.3,0.71,6.0,11.0,47.0,29.0,28.0,34.4,6.0,0.0,22,2025-04-08 23:00,,0.6,31.7,55,1.0,121.38352778,24.94902778,311,低,低,低,低,低,中,中,中,低,弱
台中市（和平區消防隊）,臺中市,64,細懸浮微粒,普通,0.3,0.28,27.0,42.0,30.0,17.0,5.0,6.5,0.7,0.2,278,2025-04-08 23:00,,0.3,17.2,30,0.0,120.883858,24.174592,310,低,低,低,中,低,低,低,低,低,弱
屏東（琉球）,屏東縣,68,細懸浮微粒,普通,0.6,0.17,47.0,60.0,7.0,7.0,0.0,1.3,0.6,1.0,179,2025-04-08 23:00,,0.2,18.6,27,1.0,120.37722,22.35222,204,低,低,中,高,低,低,低,低,低,弱
臺南（麻豆）,臺南市,81,細懸浮微粒,普通,1.6,0.4,15.0,48.0,61.0,28.0,30.0,33.1,2.6,0.2,156,2025-04-08 23:00,,0.2,23.6,52,1.0,120.24583056,23.17904722,203,低,低,低,中,低,中,中,中,低,弱
高雄（湖內）,高雄市,73,細懸浮微粒,普通,1.7,0.37,27.0,46.0,53.0,23.0,16.0,18.0,1.4,0.3,325,2025-04-08 23:00,,0.3,20.6,46,1.0,120.24535,22.87985556,202,低,低,低,中,低,中,低,低,低,弱
宜蘭（頭城）,宜蘭縣,47,,良好,0.9,0.26,24.0,37.0,26.0,10.0,8.0,9.2,0.6,0.5,228,2025-04-08 23:00,,0.2,9.8,28,0.0,121.82463916,24.85366672,201,低,低,低,中,低,低,低,低,低,弱
員林,彰化縣,101,細懸浮微粒,對敏感族群不健康,2.4,0.63,26.0,44.0,73.0,34.0,17.0,18.2,0.9,0.8,179,2025-04-08 23:00,,0.5,30.5,65,2.0,120.5631893,23.9615945,139,低,低,低,中,低,中,低,低,低,弱
大城,彰化縣,100,臭氧八小時,普通,0.7,0.21,65.0,70.0,41.0,19.0,3.0,3.6,0.5,0.2,15,2025-04-08 23:00,,0.2,22.1,42,0.0,120.26964167,23.85493056,85,低,低,中,高,低,低,低,低,低,弱
富貴角,新北市,75,細懸浮微粒,普通,1.1,0.25,43.0,54.0,31.0,18.0,3.0,3.8,0.0,1.9,152,2025-04-08 23:00,,0.2,21.4,39,1.0,121.53656894,25.29681695,84,低,低,中,中,低,低,低,低,低,弱
麥寮,雲林縣,88,細懸浮微粒,普通,1.3,0.28,46.0,56.0,63.0,30.0,5.0,6.2,0.9,0.4,7,2025-04-08 23:00,,0.2,26.1,58,1.0,120.251825,23.753506,83,低,低,中,中,低,中,低,低,低,弱
關山,臺東縣,33,,良好,0.6,0.16,27.0,36.0,12.0,5.0,3.0,3.7,0.7,1.3,172,2025-04-08 23:00,,0.1,5.9,11,0.0,121.161933,23.045083,80,低,低,低,中,低,低,低,低,低,弱
馬公,澎湖縣,93,臭氧八小時,普通,0.6,0.24,67.0,68.0,48.0,31.0,3.0,3.5,0.1,1.2,275,2025-04-08 23:00,,0.2,23.5,49,0.0,119.566158,23.569031,78,低,低,中,高,低,中,低,低,低,弱
金門,金門縣,106,細懸浮微粒,對敏感族群不健康,1.7,0.38,64.0,65.0,64.0,33.0,7.0,8.1,0.7,0.7,299,2025-04-08 23:00,,0.3,32.7,63,2.0,118.312256,24.432133,77,低,低,中,高,低,中,低,低,低,弱
馬祖,連江縣,108,臭氧八小時,對敏感族群不健康,1.1,0.31,60.0,73.0,60.0,24.0,5.0,6.1,0.6,1.4,358,2025-04-08 23:00,,0.3,28.2,64,1.0,119.952724,26.153736,75,低,低,中,高,低,中,低,低,低,弱
埔里,南投縣,80,細懸浮微粒,普通,1.2,0.39,23.0,41.0,42.0,25.0,11.0,12.6,1.2,0.3,181,2025-04-08 23:00,,0.4,23.0,40,1.0,120.967903,23.968842,72,低,低,低,中,低,中,低,低,低,弱
